policy,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_estimated_latency,p95_estimated_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,oracle_capture_vs_reactive
history,667904.0,443.42857142857144,768.0,11.625,20.25,87552.0,811008.0,178,0.9422348484848485,1.0022997316979685,0.9001536098310291,-0.3836477987421384
oracle2d,562432.0,297.14285714285717,512.0,8.607142857142858,13.0,26112.0,642048.0,63,1.1901913875598087,1.1902594446973145,1.2157676348547717,1.0
physics2d_exact,562432.0,297.14285714285717,512.0,8.607142857142858,13.0,26112.0,642048.0,63,1.1901913875598087,1.1902594446973145,1.2157676348547717,1.0
physics2d_imperfect,564224.0,306.2857142857143,512.0,8.857142857142858,15.25,27648.0,646656.0,68,1.1817102137767221,1.1864791288566243,1.1814516129032258,0.9622641509433962
physics2d_no_shear,808448.0,425.14285714285717,832.0,11.464285714285714,21.25,18432.0,912896.0,34,0.8370723499719573,0.8280557314756175,0.9127725856697819,-1.2180293501048218
reactive,669440.0,374.85714285714283,768.0,10.464285714285714,21.0,21504.0,764160.0,56,1.0,1.0,1.0,0.0
static,759296.0,397.7142857142857,1024.0,11.107142857142858,26.0,0.0,848384.0,0,0.9007242003621002,0.8816587997302765,0.9421221864951768,-0.689727463312369
