scenario,horizon,policy,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_estimated_latency,p95_estimated_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,perfect_prediction_capture
hard2,24,exact_physics,3016704.0,569.2631578947369,768.0,16.776315789473685,22.0,424448.0,3401984.0,707,1.82775227631876,1.888153428377461,1.6815686274509802,1.0
hard2,24,history,6156800.0,1165.4736842105262,1536.0,29.026315789473685,35.25,1503744.0,7262976.0,1999,0.8561206866166156,0.9251559251559252,0.9718948322756119,-0.3710909090909091
hard2,24,learned_dynamics,3128832.0,693.8947368421053,768.0,19.92105263157895,24.25,454144.0,3566848.0,769,1.7432713701284719,1.8204876452299132,1.4161162483487448,0.9414545454545454
hard2,24,perfect_future_graph,3016704.0,569.2631578947369,768.0,16.776315789473685,22.0,424448.0,3401984.0,707,1.82775227631876,1.888153428377461,1.6815686274509802,1.0
hard2,24,reactive,5696000.0,1125.0526315789473,1280.0,28.210526315789473,33.0,359936.0,6217984.0,614,1.0,1.0,1.0,0.0
