timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
30,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
31,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
32,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
33,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
34,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
35,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
36,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
37,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
38,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
39,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
40,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
41,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
42,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
43,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
44,reactive,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
4,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
5,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
6,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
7,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
8,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
9,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
10,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
11,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
12,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
13,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
14,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
15,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
16,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
17,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
18,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
19,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
20,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
21,history,25.0,6400.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0
