policy,mean_cost,median_cost,p95_cost,total_cost,improvement_vs_static
characteristic,189.40816326530611,188.0,214.29999999999998,18562.0,1.8298135976726646
history,315.5612244897959,311.0,372.74999999999994,30925.0,1.0983023443815683
oracle,189.40816326530611,188.0,214.29999999999998,18562.0,1.8298135976726646
reactive,306.2448979591837,302.5,365.0,30012.0,1.131713981074237
static,346.5816326530612,340.5,438.0,33965.0,1.0
