timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
56,static,64.0,16384.0,69632.0,512.0,310.85714285714283,48,13,8.0,21.0,0.0,0,71680.0
57,static,64.0,16384.0,70144.0,512.0,313.14285714285717,50,13,8.0,21.0,0.0,0,72192.0
58,static,64.0,16384.0,70912.0,768.0,317.99103139013454,2,13,12.0,25.0,0.0,0,73984.0
59,static,64.0,16384.0,71680.0,768.0,322.8828828828829,2,13,12.0,25.0,0.0,0,74752.0
60,static,64.0,16384.0,75264.0,768.0,340.56108597285066,2,13,12.0,25.0,0.0,0,78336.0
61,static,64.0,16384.0,76032.0,768.0,344.03619909502265,3,13,12.0,25.0,0.0,0,79104.0
62,static,64.0,16384.0,76288.0,768.0,345.19457013574663,3,13,12.0,25.0,0.0,0,79360.0
63,static,64.0,16384.0,77056.0,768.0,350.25454545454545,5,13,12.0,25.0,0.0,0,80128.0
64,static,64.0,16384.0,77824.0,1024.0,353.74545454545455,1,13,16.0,29.0,0.0,0,81920.0
65,static,64.0,16384.0,77568.0,1024.0,350.9864253393665,1,13,16.0,29.0,0.0,0,81664.0
66,static,64.0,16384.0,78592.0,768.0,355.61990950226243,5,13,12.0,25.0,0.0,0,81664.0
67,static,64.0,16384.0,79104.0,768.0,357.9366515837104,5,13,12.0,25.0,0.0,0,82176.0
68,static,64.0,16384.0,79872.0,1024.0,361.4117647058824,1,13,16.0,29.0,0.0,0,83968.0
69,static,64.0,16384.0,81152.0,1024.0,368.8727272727273,1,13,16.0,29.0,0.0,0,85248.0
70,static,64.0,16384.0,81408.0,768.0,368.36199095022624,3,13,12.0,25.0,0.0,0,84480.0
71,static,64.0,16384.0,81408.0,768.0,368.36199095022624,3,13,12.0,25.0,0.0,0,84480.0
72,static,64.0,16384.0,83712.0,768.0,377.0810810810811,3,13,12.0,25.0,0.0,0,86784.0
73,static,64.0,16384.0,84480.0,768.0,382.26244343891403,8,13,12.0,25.0,0.0,0,87552.0
74,static,64.0,16384.0,84736.0,768.0,383.420814479638,8,13,12.0,25.0,0.0,0,87808.0
