scenario,horizon,policy,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_estimated_latency,p95_estimated_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,perfect_prediction_capture
hard4,32,exact_physics,2519552.0,617.4117647058823,768.0,17.941176470588236,23.0,493568.0,2934272.0,797,1.8228930378642472,1.9148547043283886,1.618032786885246,1.0
hard4,32,history,5272832.0,1129.4117647058824,1280.0,28.470588235294116,33.65,1786368.0,6473216.0,2264,0.8263070473779958,0.9149876195562461,1.0196280991735538,-0.46564885496183206
hard4,32,learned_dynamics,2864896.0,764.2352941176471,1024.0,20.970588235294116,25.0,647680.0,3396608.0,992,1.574766355140187,1.684031811276919,1.3842917251051896,0.8085241730279898
hard4,32,perfect_future_graph,2519552.0,617.4117647058823,768.0,17.941176470588236,23.0,493568.0,2934272.0,797,1.8228930378642472,1.9148547043283886,1.618032786885246,1.0
hard4,32,reactive,4824576.0,1125.6470588235295,1280.0,29.029411764705884,34.0,436224.0,5348864.0,718,1.0,1.0,1.0,0.0
