policy,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_estimated_latency,p95_estimated_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,oracle_capture_vs_reactive
burgers_oracle,928000.0,452.57142857142856,512.0,13.75,16.25,90624.0,1074688.0,161,1.3535016674606957,1.3635862068965516,1.3116883116883116,1.0
burgers_physics_exact,928000.0,452.57142857142856,512.0,13.75,16.25,90624.0,1074688.0,161,1.3535016674606957,1.3635862068965516,1.3116883116883116,1.0
burgers_physics_imperfect,934656.0,480.0,768.0,14.107142857142858,19.25,84480.0,1084416.0,158,1.341359773371105,1.3538756505067104,1.2784810126582278,0.9743935309973046
history,1123328.0,630.8571428571429,768.0,16.535714285714285,20.0,230400.0,1379840.0,453,1.0541743970315398,1.1264813126709208,1.0907127429805616,0.1967654986522911
reactive,1265408.0,658.2857142857143,1024.0,18.035714285714285,22.5,83456.0,1454592.0,155,1.0,1.0,1.0,0.0
static,1529344.0,640.0,768.0,18.678571428571427,21.0,0.0,1672704.0,0,0.869605142332415,0.8274188148644125,0.9655831739961759,-0.5741239892183289
