policy,bandwidth,beta,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_latency,p95_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,oracle_capture_vs_reactive
history,256.0,1.0,7757568.0,1549.3333333333333,2304.0,17.322916666666668,21.0,4289024.0,10050816.0,4655,0.9275617024528158,1.02993102993103,1.0240529164161154,-0.15434711820253988
characteristic,256.0,1.0,4574464.0,1101.3333333333333,1792.0,13.979166666666666,19.0,2295296.0,5827840.0,2951,1.5996925104326818,1.746600257429067,1.2690014903129656,0.7409095842830783
oracle,256.0,1.0,3395072.0,794.6666666666666,1024.0,10.46875,14.0,2268672.0,4605696.0,3058,2.024178756044689,2.3533403709847684,1.6945273631840796,1.0
static,16.0,2.0,8548096.0,1946.6666666666667,3328.0,133.22916666666666,219.0,0.0,8921856.0,0,1.0420934836876992,0.9158156389446258,0.8341673182173575,0.08384294450477224
reactive,16.0,2.0,7828480.0,1600.0,2624.0,111.13541666666667,175.5,2323456.0,9297408.0,3059,1.0,1.0,1.0,0.0
history,16.0,2.0,7826944.0,1477.3333333333333,2048.0,103.80208333333333,140.25,4343808.0,10282496.0,4634,0.9041975800428222,1.0001962451756394,1.0706472654290016,-0.21992341544264732
characteristic,16.0,2.0,4619776.0,1080.0,1600.0,76.95833333333333,112.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.4440985381700056,0.7485854717951649
oracle,16.0,2.0,3513856.0,773.3333333333334,1024.0,55.635416666666664,72.25,2311680.0,4818176.0,3074,1.9296530471282078,2.227888678420516,1.997565998876615,1.0
static,32.0,2.0,8548096.0,1946.6666666666667,3328.0,72.39583333333333,115.0,0.0,8921856.0,0,1.0420934836876992,0.9158156389446258,0.8444604316546763,0.08384294450477224
reactive,32.0,2.0,7828480.0,1600.0,2624.0,61.135416666666664,93.5,2323456.0,9297408.0,3059,1.0,1.0,1.0,0.0
history,32.0,2.0,7826944.0,1477.3333333333333,2048.0,57.635416666666664,76.25,4343808.0,10282496.0,4634,0.9041975800428222,1.0001962451756394,1.060726549792156,-0.21992341544264732
characteristic,32.0,2.0,4619776.0,1080.0,1600.0,43.208333333333336,62.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.4148987463837992,0.7485854717951649
oracle,32.0,2.0,3513856.0,773.3333333333334,1024.0,31.46875,40.25,2311680.0,4818176.0,3074,1.9296530471282078,2.227888678420516,1.9427341939755047,1.0
static,64.0,2.0,8548096.0,1946.6666666666667,3328.0,41.979166666666664,63.0,0.0,8921856.0,0,1.0420934836876992,0.9158156389446258,0.8607940446650124,0.08384294450477224
reactive,64.0,2.0,7828480.0,1600.0,2624.0,36.135416666666664,52.5,2323456.0,9297408.0,3059,1.0,1.0,1.0,0.0
history,64.0,2.0,7826944.0,1477.3333333333333,2048.0,34.552083333333336,44.25,4343808.0,10282496.0,4634,0.9041975800428222,1.0001962451756394,1.0458245402472113,-0.21992341544264732
characteristic,64.0,2.0,4619776.0,1080.0,1600.0,26.333333333333332,37.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.3722310126582278,0.7485854717951649
oracle,64.0,2.0,3513856.0,773.3333333333334,1024.0,19.385416666666668,24.25,2311680.0,4818176.0,3074,1.9296530471282078,2.227888678420516,1.8640515851692636,1.0
static,128.0,2.0,8548096.0,1946.6666666666667,3328.0,26.770833333333332,37.0,0.0,8921856.0,0,1.0420934836876992,0.9158156389446258,0.8828793774319067,0.08384294450477224
reactive,128.0,2.0,7828480.0,1600.0,2624.0,23.635416666666668,32.0,2323456.0,9297408.0,3059,1.0,1.0,1.0,0.0
history,128.0,2.0,7826944.0,1477.3333333333333,2048.0,23.010416666666668,28.0,4343808.0,10282496.0,4634,0.9041975800428222,1.0001962451756394,1.0271616115889544,-0.21992341544264732
characteristic,128.0,2.0,4619776.0,1080.0,1600.0,17.895833333333332,24.0,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.320721769499418,0.7485854717951649
oracle,128.0,2.0,3513856.0,773.3333333333334,1024.0,13.34375,17.0,2311680.0,4818176.0,3074,1.9296530471282078,2.227888678420516,1.7712724434035911,1.0
static,256.0,2.0,8548096.0,1946.6666666666667,3328.0,19.166666666666668,24.25,0.0,8921856.0,0,1.0420934836876992,0.9158156389446258,0.9070652173913043,0.08384294450477224
reactive,256.0,2.0,7828480.0,1600.0,2624.0,17.385416666666668,21.25,2323456.0,9297408.0,3059,1.0,1.0,1.0,0.0
history,256.0,2.0,7826944.0,1477.3333333333333,2048.0,17.239583333333332,20.0,4343808.0,10282496.0,4634,0.9041975800428222,1.0001962451756394,1.0084592145015108,-0.21992341544264732
characteristic,256.0,2.0,4619776.0,1080.0,1600.0,13.677083333333334,17.25,2234368.0,5944320.0,2929,1.5640826873385012,1.6945583508810818,1.2711348057882712,0.7485854717951649
oracle,256.0,2.0,3513856.0,773.3333333333334,1024.0,10.322916666666666,13.25,2311680.0,4818176.0,3074,1.9296530471282078,2.227888678420516,1.684157416750757,1.0
static,16.0,4.0,8548096.0,1946.6666666666667,3328.0,133.22916666666666,219.0,0.0,9295616.0,0,1.0252540552449672,0.9116827887754185,0.8243158717748241,0.05042063012041568
reactive,16.0,4.0,7793152.0,1576.0,2304.0,109.82291666666667,156.5,2264064.0,9530368.0,3017,1.0,1.0,1.0,0.0
history,16.0,4.0,7896576.0,1498.6666666666667,2112.0,104.98958333333333,143.25,4372480.0,10658304.0,4762,0.8941730316568189,0.986902677818842,1.0460363131263024,-0.24226095562764613
characteristic,16.0,4.0,4533504.0,1045.3333333333333,1536.0,74.875,109.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.466750139120757,0.7334359707483368
oracle,16.0,4.0,3452672.0,749.3333333333334,1024.0,53.927083333333336,73.0,2268160.0,4874496.0,3087,1.9551494144215116,2.257136501816564,2.0365076299014873,1.0
static,32.0,4.0,8548096.0,1946.6666666666667,3328.0,72.39583333333333,115.0,0.0,9295616.0,0,1.0252540552449672,0.9116827887754185,0.8366906474820144,0.05042063012041568
reactive,32.0,4.0,7793152.0,1576.0,2304.0,60.572916666666664,84.5,2264064.0,9530368.0,3017,1.0,1.0,1.0,0.0
history,32.0,4.0,7896576.0,1498.6666666666667,2112.0,58.15625,77.25,4372480.0,10658304.0,4762,0.8941730316568189,0.986902677818842,1.0415547196847572,-0.24226095562764613
characteristic,32.0,4.0,4533504.0,1045.3333333333333,1536.0,42.208333333333336,61.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.4350937808489634,0.7334359707483368
oracle,32.0,4.0,3452672.0,749.3333333333334,1024.0,30.510416666666668,41.0,2268160.0,4874496.0,3087,1.9551494144215116,2.257136501816564,1.98531922157733,1.0
static,64.0,4.0,8548096.0,1946.6666666666667,3328.0,41.979166666666664,63.0,0.0,9295616.0,0,1.0252540552449672,0.9116827887754185,0.8563275434243176,0.05042063012041568
reactive,64.0,4.0,7793152.0,1576.0,2304.0,35.947916666666664,48.5,2264064.0,9530368.0,3017,1.0,1.0,1.0,0.0
history,64.0,4.0,7896576.0,1498.6666666666667,2112.0,34.739583333333336,44.25,4372480.0,10658304.0,4762,0.8941730316568189,0.986902677818842,1.034782608695652,-0.24226095562764613
characteristic,64.0,4.0,4533504.0,1045.3333333333333,1536.0,25.875,37.0,2361344.0,6115584.0,3032,1.5583741470969903,1.7190129312778812,1.3892914653784219,0.7334359707483368
oracle,64.0,4.0,3452672.0,749.3333333333334,1024.0,18.802083333333332,25.0,2268160.0,4874496.0,3087,1.9551494144215116,2.257136501816564,1.9119113573407203,1.0
static,128.0,4.0,8548096.0,1946.6666666666667,3328.0,26.770833333333332,37.0,0.0,9295616.0,0,1.0252540552449672,0.9116827887754185,0.8828793774319067,0.05042063012041568
reactive,128.0,4.0,7793152.0,1576.0,2304.0,23.635416666666668,30.5,2264064.0,9530368.0,3017,1.0,1.0,1.0,0.0
