scenario,horizon,policy,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_estimated_latency,p95_estimated_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,perfect_prediction_capture
extreme3,16,exact_physics,3317504.0,594.2857142857143,768.0,18.25,23.0,304640.0,3669504.0,546,1.7058741453885866,1.7485917123234818,1.4651011089367254,1.0
extreme3,16,history,6430464.0,1066.6666666666667,1280.0,27.488095238095237,32.0,1315840.0,7446784.0,1772,0.840592663893568,0.9021059755563517,0.9727154612386314,-0.45829215259932793
extreme3,16,learned_dynamics,3320832.0,545.5238095238095,768.0,17.666666666666668,21.849999999999994,348672.0,3678464.0,619,1.7017189783561835,1.7468393462843046,1.513477088948787,0.9965408183435461
extreme3,16,perfect_future_graph,3317504.0,594.2857142857143,768.0,18.25,23.0,304640.0,3669504.0,546,1.7058741453885866,1.7485917123234818,1.4651011089367254,1.0
extreme3,16,reactive,5800960.0,1024.0,1280.0,26.738095238095237,32.849999999999994,229376.0,6259712.0,408,1.0,1.0,1.0,0.0
