policy,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_estimated_latency,p95_estimated_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,perfect_prediction_capture
exact_physics,3418880.0,453.3333333333333,576.0,15.770833333333334,21.0,164352.0,3675136.0,272,1.1639035943159655,1.159490827405466,1.2199471598414795,1.0
history,3208448.0,634.6666666666666,1024.0,18.40625,28.0,598528.0,3751424.0,948,1.14023474819162,1.2355381792068938,1.0452744765138653,0.8733531661708457
learned_dynamics,3418880.0,453.3333333333333,576.0,15.770833333333334,21.0,164352.0,3675136.0,272,1.1639035943159655,1.159490827405466,1.2199471598414795,1.0
perfect_future_graph,3418880.0,453.3333333333333,576.0,15.770833333333334,21.0,164352.0,3675136.0,272,1.1639035943159655,1.159490827405466,1.2199471598414795,1.0
reactive,3964160.0,621.3333333333334,1024.0,19.239583333333332,28.25,149504.0,4277504.0,247,1.0,1.0,1.0,0.0
static,5320960.0,586.6666666666666,1024.0,19.3125,29.0,0.0,5546240.0,0,0.7712439418416801,0.7450084195333173,0.9962243797195253,-2.1062473438164044
