timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
54,static,64.0,16384.0,68608.0,2304.0,596.591304347826,2,13,36.0,49.0,0.0,0,77824.0
55,static,64.0,16384.0,73216.0,2560.0,605.0909090909091,3,12,40.0,52.0,0.0,0,83456.0
56,static,64.0,16384.0,71424.0,2560.0,632.070796460177,3,11,40.0,51.0,0.0,0,81664.0
57,static,64.0,16384.0,66560.0,2304.0,633.9047619047619,3,11,36.0,47.0,0.0,0,75776.0
58,static,64.0,16384.0,69376.0,2304.0,648.373831775701,3,10,36.0,46.0,0.0,0,78592.0
59,static,64.0,16384.0,73472.0,2560.0,597.3333333333334,3,9,40.0,49.0,0.0,0,83712.0
60,static,64.0,16384.0,77312.0,2560.0,604.0,5,9,40.0,49.0,0.0,0,87552.0
61,static,64.0,16384.0,76800.0,2560.0,600.0,6,9,40.0,49.0,0.0,0,87040.0
62,static,64.0,16384.0,76800.0,2304.0,604.7244094488188,6,10,36.0,46.0,0.0,0,86016.0
63,static,64.0,16384.0,75776.0,2304.0,616.0650406504066,6,9,36.0,45.0,0.0,0,84992.0
64,static,64.0,16384.0,76800.0,2560.0,600.0,6,12,40.0,52.0,0.0,0,87040.0
65,static,64.0,16384.0,82688.0,2816.0,612.5037037037036,3,13,44.0,57.0,0.0,0,93952.0
66,static,64.0,16384.0,80384.0,2560.0,618.3384615384615,6,13,40.0,53.0,0.0,0,90624.0
67,static,64.0,16384.0,82944.0,2560.0,609.8823529411765,7,13,40.0,53.0,0.0,0,93184.0
68,static,64.0,16384.0,78336.0,2304.0,602.5846153846154,7,12,36.0,48.0,0.0,0,87552.0
69,static,64.0,16384.0,78848.0,2304.0,601.8931297709923,6,13,36.0,49.0,0.0,0,88064.0
70,static,64.0,16384.0,78336.0,2560.0,602.5846153846154,6,14,40.0,54.0,0.0,0,88576.0
71,static,64.0,16384.0,75776.0,2816.0,582.8923076923077,3,14,44.0,58.0,0.0,0,87040.0
72,static,64.0,16384.0,76800.0,3072.0,600.0,2,11,48.0,59.0,0.0,0,89088.0
73,static,64.0,16384.0,80640.0,2816.0,606.3157894736842,2,12,44.0,56.0,0.0,0,91904.0
74,static,64.0,16384.0,84224.0,2816.0,614.7737226277372,2,12,44.0,56.0,0.0,0,95488.0
75,static,64.0,16384.0,82688.0,2560.0,636.0615384615385,6,12,40.0,52.0,0.0,0,92928.0
76,static,64.0,16384.0,80640.0,2304.0,601.7910447761194,5,11,36.0,47.0,0.0,0,89856.0
77,static,64.0,16384.0,81920.0,2304.0,589.3525179856115,5,12,36.0,48.0,0.0,0,91136.0
78,static,64.0,16384.0,78848.0,2560.0,616.0,6,13,40.0,53.0,0.0,0,89088.0
79,static,64.0,16384.0,78080.0,2816.0,578.3703703703703,3,13,44.0,57.0,0.0,0,89344.0
80,static,64.0,16384.0,80640.0,3072.0,588.6131386861314,2,10,48.0,58.0,0.0,0,92928.0
81,static,64.0,16384.0,84736.0,2816.0,609.6115107913669,2,11,44.0,55.0,0.0,0,96000.0
82,static,64.0,16384.0,88576.0,2816.0,610.8689655172413,2,11,44.0,55.0,0.0,0,99840.0
83,static,64.0,16384.0,86272.0,2560.0,625.1594202898551,7,10,40.0,50.0,0.0,0,96512.0
84,static,64.0,16384.0,85760.0,2560.0,625.985401459854,8,11,40.0,51.0,0.0,0,96000.0
85,static,64.0,16384.0,83200.0,2304.0,616.2962962962963,7,12,36.0,48.0,0.0,0,92416.0
86,static,64.0,16384.0,80640.0,2560.0,601.7910447761194,6,12,40.0,52.0,0.0,0,90880.0
87,static,64.0,16384.0,79104.0,3072.0,632.832,3,10,48.0,58.0,0.0,0,91392.0
88,static,64.0,16384.0,86784.0,3072.0,619.8857142857142,3,10,48.0,58.0,0.0,0,99072.0
89,static,64.0,16384.0,92160.0,3072.0,649.0140845070423,3,10,48.0,58.0,0.0,0,104448.0
90,static,64.0,16384.0,91904.0,3072.0,665.9710144927536,3,10,48.0,58.0,0.0,0,104192.0
91,static,64.0,16384.0,95232.0,3328.0,647.8367346938776,3,10,52.0,62.0,0.0,0,108544.0
92,static,64.0,16384.0,95232.0,3328.0,622.4313725490196,3,11,52.0,63.0,0.0,0,108544.0
93,static,64.0,16384.0,91392.0,3328.0,643.6056338028169,3,11,52.0,63.0,0.0,0,104704.0
94,static,64.0,16384.0,90880.0,3584.0,649.1428571428571,3,11,56.0,67.0,0.0,0,105216.0
95,static,64.0,16384.0,92928.0,3328.0,615.4172185430464,3,12,52.0,64.0,0.0,0,106240.0
