policy,total_byte_hops,mean_max_link_load,p95_max_link_load,mean_estimated_latency,p95_estimated_latency,total_migration_byte_hops,total_objective,total_moved_tasks,objective_improvement_vs_reactive,byte_hop_improvement_vs_reactive,latency_improvement_vs_reactive,oracle_capture_vs_reactive
burgers2d_no_crossflow,5440768.0,744.0,1280.0,22.572916666666668,32.0,67584.0,5760256.0,112,0.7477445446869028,0.7345315955394532,0.8463313336409783,-2.523788350377946
burgers2d_oracle,3480064.0,458.6666666666667,576.0,16.020833333333332,21.0,150528.0,3731456.0,289,1.154294731064764,1.148374282771811,1.1924577373211964,1.0
burgers2d_physics_exact,3480064.0,458.6666666666667,576.0,16.020833333333332,21.0,150528.0,3731456.0,289,1.154294731064764,1.148374282771811,1.1924577373211964,1.0
burgers2d_physics_imperfect,3352320.0,488.0,768.0,16.645833333333332,23.0,181248.0,3630336.0,309,1.1864466539736267,1.1921344024436809,1.1476846057571966,1.1756336149399733
history,3486464.0,645.3333333333334,1024.0,18.604166666666668,26.0,725504.0,4097024.0,1097,1.0512996750812298,1.1462662456861736,1.026875699888018,0.365051133837261
reactive,3996416.0,629.3333333333334,1024.0,19.104166666666668,27.0,138240.0,4307200.0,264,1.0,1.0,1.0,0.0
static,5732096.0,610.6666666666666,1024.0,20.541666666666668,29.0,0.0,5966592.0,0,0.7218861286308834,0.6971997677638336,0.9300202839756593,-2.882169853268119
