timestep,policy,actual_cost,predicted_cost,placement_scheduled,activation_target
65,reactive,284.0,190.0,True,67
66,reactive,263.0,172.0,True,68
67,reactive,289.0,196.0,True,69
68,reactive,269.0,176.0,True,70
69,reactive,297.0,192.0,True,71
70,reactive,262.0,153.0,True,72
71,reactive,271.0,190.0,True,73
72,reactive,283.0,179.0,True,74
73,reactive,272.0,180.0,True,75
74,reactive,274.0,185.0,True,76
75,reactive,272.0,172.0,True,77
76,reactive,273.0,180.0,True,78
77,reactive,259.0,185.0,True,79
78,reactive,260.0,172.0,True,80
79,reactive,270.0,179.0,True,81
80,reactive,241.0,173.0,True,82
81,reactive,274.0,175.0,True,83
82,reactive,274.0,170.0,True,84
83,reactive,285.0,181.0,True,85
84,reactive,255.0,171.0,True,86
85,reactive,302.0,185.0,True,87
86,reactive,261.0,164.0,True,88
87,reactive,262.0,177.0,True,89
88,reactive,278.0,172.0,True,90
89,reactive,270.0,166.0,True,91
90,reactive,267.0,161.0,True,92
91,reactive,286.0,196.0,True,93
92,reactive,279.0,184.0,True,94
93,reactive,314.0,187.0,True,95
94,reactive,273.0,196.0,True,96
95,reactive,278.0,200.0,True,97
96,reactive,315.0,194.0,True,98
97,reactive,291.0,210.0,True,99
98,reactive,287.0,,False,-1
99,reactive,289.0,,False,-1
0,history,126.0,126.0,True,2
1,history,220.0,126.0,True,3
2,history,274.0,540.0,True,4
3,history,300.0,443.0,True,5
4,history,284.0,570.0,True,6
5,history,282.0,595.0,True,7
6,history,322.0,535.0,True,8
7,history,307.0,531.0,True,9
8,history,317.0,525.0,True,10
9,history,330.0,610.0,True,11
10,history,357.0,520.0,True,12
11,history,365.0,567.0,True,13
12,history,326.0,458.0,True,14
13,history,393.0,591.0,True,15
14,history,422.0,629.0,True,16
15,history,377.0,550.0,True,17
16,history,353.0,602.0,True,18
17,history,346.0,520.0,True,19
18,history,392.0,560.0,True,20
19,history,349.0,529.0,True,21
20,history,372.0,593.0,True,22
21,history,404.0,558.0,True,23
22,history,344.0,495.0,True,24
23,history,319.0,572.0,True,25
24,history,350.0,566.0,True,26
25,history,325.0,459.0,True,27
26,history,357.0,554.0,True,28
27,history,358.0,585.0,True,29
28,history,335.0,525.0,True,30
29,history,354.0,473.0,True,31
30,history,311.0,591.0,True,32
31,history,342.0,508.0,True,33
32,history,364.0,475.0,True,34
33,history,296.0,546.0,True,35
34,history,344.0,472.0,True,36
35,history,350.0,583.0,True,37
36,history,336.0,493.0,True,38
37,history,354.0,435.0,True,39
38,history,315.0,513.0,True,40
39,history,357.0,471.0,True,41
40,history,357.0,471.0,True,42
41,history,358.0,506.0,True,43
42,history,343.0,412.0,True,44
43,history,313.0,404.0,True,45
44,history,332.0,486.0,True,46
45,history,363.0,427.0,True,47
46,history,342.0,421.0,True,48
47,history,280.0,460.0,True,49
48,history,331.0,384.0,True,50
49,history,329.0,418.0,True,51
50,history,290.0,387.0,True,52
51,history,310.0,409.0,True,53
52,history,310.0,397.0,True,54
53,history,259.0,342.0,True,55
54,history,266.0,299.0,True,56
55,history,311.0,378.0,True,57
56,history,364.0,358.0,True,58
57,history,328.0,357.0,True,59
58,history,284.0,346.0,True,60
59,history,294.0,325.0,True,61
60,history,277.0,316.0,True,62
61,history,256.0,368.0,True,63
62,history,252.0,342.0,True,64
63,history,308.0,365.0,True,65
64,history,289.0,321.0,True,66
65,history,316.0,349.0,True,67
66,history,263.0,345.0,True,68
67,history,283.0,348.0,True,69
68,history,294.0,359.0,True,70
69,history,316.0,316.0,True,71
70,history,299.0,389.0,True,72
71,history,250.0,282.0,True,73
72,history,317.0,390.0,True,74
73,history,270.0,298.0,True,75
74,history,297.0,377.0,True,76
75,history,289.0,337.0,True,77
76,history,277.0,306.0,True,78
77,history,315.0,355.0,True,79
78,history,267.0,335.0,True,80
79,history,303.0,347.0,True,81
80,history,259.0,352.0,True,82
81,history,339.0,386.0,True,83
82,history,267.0,311.0,True,84
83,history,301.0,322.0,True,85
84,history,299.0,343.0,True,86
85,history,273.0,347.0,True,87
86,history,294.0,305.0,True,88
87,history,290.0,332.0,True,89
88,history,269.0,295.0,True,90
89,history,300.0,283.0,True,91
90,history,265.0,315.0,True,92
91,history,291.0,343.0,True,93
92,history,311.0,329.0,True,94
93,history,292.0,296.0,True,95
94,history,310.0,329.0,True,96
95,history,310.0,340.0,True,97
96,history,287.0,318.0,True,98
97,history,276.0,325.0,True,99
98,history,316.0,,False,-1
99,history,291.0,,False,-1
0,characteristic,126.0,180.0,True,2
1,characteristic,220.0,185.0,True,3
2,characteristic,180.0,190.0,True,4
3,characteristic,185.0,181.0,True,5
4,characteristic,190.0,185.0,True,6
5,characteristic,181.0,194.0,True,7
6,characteristic,185.0,181.0,True,8
7,characteristic,194.0,202.0,True,9
8,characteristic,181.0,203.0,True,10
9,characteristic,202.0,182.0,True,11
10,characteristic,203.0,202.0,True,12
11,characteristic,182.0,205.0,True,13
12,characteristic,202.0,194.0,True,14
13,characteristic,205.0,212.0,True,15
14,characteristic,194.0,208.0,True,16
15,characteristic,212.0,198.0,True,17
16,characteristic,208.0,204.0,True,18
17,characteristic,198.0,220.0,True,19
18,characteristic,204.0,193.0,True,20
19,characteristic,220.0,174.0,True,21
20,characteristic,193.0,181.0,True,22
21,characteristic,174.0,208.0,True,23
22,characteristic,181.0,216.0,True,24
23,characteristic,208.0,216.0,True,25
24,characteristic,216.0,198.0,True,26
25,characteristic,216.0,213.0,True,27
26,characteristic,198.0,206.0,True,28
27,characteristic,213.0,211.0,True,29
28,characteristic,206.0,200.0,True,30
29,characteristic,211.0,163.0,True,31
30,characteristic,200.0,184.0,True,32
31,characteristic,163.0,188.0,True,33
32,characteristic,184.0,218.0,True,34
33,characteristic,188.0,188.0,True,35
34,characteristic,218.0,201.0,True,36
35,characteristic,188.0,214.0,True,37
36,characteristic,201.0,201.0,True,38
37,characteristic,214.0,194.0,True,39
38,characteristic,201.0,188.0,True,40
39,characteristic,194.0,173.0,True,41
40,characteristic,188.0,189.0,True,42
41,characteristic,173.0,225.0,True,43
42,characteristic,189.0,196.0,True,44
43,characteristic,225.0,200.0,True,45
44,characteristic,196.0,200.0,True,46
45,characteristic,200.0,188.0,True,47
46,characteristic,200.0,193.0,True,48
47,characteristic,188.0,180.0,True,49
48,characteristic,193.0,199.0,True,50
49,characteristic,180.0,187.0,True,51
50,characteristic,199.0,170.0,True,52
51,characteristic,187.0,166.0,True,53
52,characteristic,170.0,180.0,True,54
53,characteristic,166.0,184.0,True,55
54,characteristic,180.0,183.0,True,56
55,characteristic,184.0,166.0,True,57
56,characteristic,183.0,181.0,True,58
57,characteristic,166.0,184.0,True,59
58,characteristic,181.0,181.0,True,60
59,characteristic,184.0,205.0,True,61
60,characteristic,181.0,177.0,True,62
61,characteristic,205.0,181.0,True,63
62,characteristic,177.0,190.0,True,64
63,characteristic,181.0,175.0,True,65
64,characteristic,190.0,196.0,True,66
65,characteristic,175.0,193.0,True,67
66,characteristic,196.0,192.0,True,68
67,characteristic,193.0,173.0,True,69
68,characteristic,192.0,190.0,True,70
69,characteristic,173.0,171.0,True,71
70,characteristic,190.0,180.0,True,72
71,characteristic,171.0,198.0,True,73
72,characteristic,180.0,172.0,True,74
73,characteristic,198.0,172.0,True,75
74,characteristic,172.0,185.0,True,76
75,characteristic,172.0,181.0,True,77
76,characteristic,185.0,179.0,True,78
77,characteristic,181.0,172.0,True,79
78,characteristic,179.0,175.0,True,80
79,characteristic,172.0,175.0,True,81
80,characteristic,175.0,181.0,True,82
81,characteristic,175.0,166.0,True,83
82,characteristic,181.0,185.0,True,84
83,characteristic,166.0,171.0,True,85
84,characteristic,185.0,177.0,True,86
85,characteristic,171.0,173.0,True,87
86,characteristic,177.0,166.0,True,88
87,characteristic,173.0,162.0,True,89
88,characteristic,166.0,196.0,True,90
89,characteristic,162.0,186.0,True,91
90,characteristic,196.0,187.0,True,92
91,characteristic,186.0,193.0,True,93
92,characteristic,187.0,200.0,True,94
93,characteristic,193.0,190.0,True,95
94,characteristic,200.0,210.0,True,96
95,characteristic,190.0,190.0,True,97
96,characteristic,210.0,204.0,True,98
97,characteristic,190.0,187.0,True,99
98,characteristic,204.0,,False,-1
99,characteristic,187.0,,False,-1
0,oracle,126.0,180.0,True,2
1,oracle,220.0,185.0,True,3
2,oracle,180.0,190.0,True,4
3,oracle,185.0,181.0,True,5
4,oracle,190.0,185.0,True,6
5,oracle,181.0,194.0,True,7
6,oracle,185.0,181.0,True,8
7,oracle,194.0,202.0,True,9
8,oracle,181.0,203.0,True,10
9,oracle,202.0,182.0,True,11
10,oracle,203.0,202.0,True,12
11,oracle,182.0,205.0,True,13
12,oracle,202.0,194.0,True,14
13,oracle,205.0,212.0,True,15
14,oracle,194.0,208.0,True,16
15,oracle,212.0,198.0,True,17
16,oracle,208.0,204.0,True,18
17,oracle,198.0,220.0,True,19
18,oracle,204.0,193.0,True,20
19,oracle,220.0,174.0,True,21
20,oracle,193.0,181.0,True,22
21,oracle,174.0,208.0,True,23
22,oracle,181.0,216.0,True,24
23,oracle,208.0,216.0,True,25
24,oracle,216.0,198.0,True,26
25,oracle,216.0,213.0,True,27
26,oracle,198.0,206.0,True,28
27,oracle,213.0,211.0,True,29
28,oracle,206.0,200.0,True,30
29,oracle,211.0,163.0,True,31
30,oracle,200.0,184.0,True,32
31,oracle,163.0,188.0,True,33
32,oracle,184.0,218.0,True,34
33,oracle,188.0,188.0,True,35
34,oracle,218.0,201.0,True,36
35,oracle,188.0,214.0,True,37
36,oracle,201.0,201.0,True,38
37,oracle,214.0,194.0,True,39
38,oracle,201.0,188.0,True,40
39,oracle,194.0,173.0,True,41
40,oracle,188.0,189.0,True,42
41,oracle,173.0,225.0,True,43
42,oracle,189.0,196.0,True,44
43,oracle,225.0,200.0,True,45
44,oracle,196.0,200.0,True,46
45,oracle,200.0,188.0,True,47
46,oracle,200.0,193.0,True,48
47,oracle,188.0,180.0,True,49
48,oracle,193.0,199.0,True,50
49,oracle,180.0,187.0,True,51
50,oracle,199.0,170.0,True,52
51,oracle,187.0,166.0,True,53
52,oracle,170.0,180.0,True,54
53,oracle,166.0,184.0,True,55
54,oracle,180.0,183.0,True,56
55,oracle,184.0,166.0,True,57
56,oracle,183.0,181.0,True,58
57,oracle,166.0,184.0,True,59
58,oracle,181.0,181.0,True,60
59,oracle,184.0,205.0,True,61
60,oracle,181.0,177.0,True,62
61,oracle,205.0,181.0,True,63
62,oracle,177.0,190.0,True,64
63,oracle,181.0,175.0,True,65
64,oracle,190.0,196.0,True,66
65,oracle,175.0,193.0,True,67
66,oracle,196.0,192.0,True,68
67,oracle,193.0,173.0,True,69
68,oracle,192.0,190.0,True,70
69,oracle,173.0,171.0,True,71
70,oracle,190.0,180.0,True,72
71,oracle,171.0,198.0,True,73
72,oracle,180.0,172.0,True,74
