timestep,policy,total_messages,total_bytes,byte_hops,max_link_load_bytes,mean_active_link_load_bytes,hot_link_count,max_hops,serialization_cycles,estimated_latency_cycles,migration_byte_hops,moved_tasks,realized_objective
56,static,64.0,16384.0,65280.0,512.0,306.4788732394366,42,13,8.0,21.0,0.0,0,67328.0
57,static,64.0,16384.0,67072.0,512.0,313.42056074766356,48,13,8.0,21.0,0.0,0,69120.0
58,static,64.0,16384.0,67584.0,512.0,314.34418604651165,49,13,8.0,21.0,0.0,0,69632.0
59,static,64.0,16384.0,67840.0,512.0,304.2152466367713,42,13,8.0,21.0,0.0,0,69888.0
60,static,64.0,16384.0,68608.0,512.0,306.2857142857143,44,13,8.0,21.0,0.0,0,70656.0
61,static,64.0,16384.0,68608.0,512.0,306.2857142857143,44,13,8.0,21.0,0.0,0,70656.0
62,static,64.0,16384.0,68352.0,512.0,306.5112107623318,44,13,8.0,21.0,0.0,0,70400.0
63,static,64.0,16384.0,69120.0,512.0,309.95515695067263,47,13,8.0,21.0,0.0,0,71168.0
64,static,64.0,16384.0,69376.0,512.0,311.1031390134529,48,13,8.0,21.0,0.0,0,71424.0
65,static,64.0,16384.0,69632.0,512.0,312.2511210762332,49,13,8.0,21.0,0.0,0,71680.0
66,static,64.0,16384.0,71168.0,512.0,320.5765765765766,56,13,8.0,21.0,0.0,0,73216.0
67,static,64.0,16384.0,71168.0,512.0,320.5765765765766,56,13,8.0,21.0,0.0,0,73216.0
68,static,64.0,16384.0,71680.0,512.0,321.43497757847535,57,13,8.0,21.0,0.0,0,73728.0
69,static,64.0,16384.0,71936.0,768.0,322.5829596412556,2,13,12.0,25.0,0.0,0,75008.0
70,static,64.0,16384.0,74240.0,768.0,334.4144144144144,4,13,12.0,25.0,0.0,0,77312.0
71,static,64.0,16384.0,77056.0,1024.0,347.0990990990991,1,13,16.0,29.0,0.0,0,81152.0
72,static,64.0,16384.0,77056.0,1024.0,347.0990990990991,1,13,16.0,29.0,0.0,0,81152.0
73,static,64.0,16384.0,77056.0,1024.0,347.0990990990991,1,13,16.0,29.0,0.0,0,81152.0
74,static,64.0,16384.0,77056.0,768.0,348.66968325791856,4,13,12.0,25.0,0.0,0,80128.0
75,static,64.0,16384.0,77312.0,768.0,349.82805429864254,4,13,12.0,25.0,0.0,0,80384.0
76,static,64.0,16384.0,77312.0,1024.0,351.41818181818184,1,13,16.0,29.0,0.0,0,81408.0
77,static,64.0,16384.0,79360.0,1024.0,360.72727272727275,1,13,16.0,29.0,0.0,0,83456.0
