regime,graph_mismatch_pct,objective_mean,objective_std,latency_mean,latency_std,perfect_capture_pct,perfect_capture_std_pct
low,2.6693000000000002,1.7017189783561837,0.0,1.513477088948787,0.0,99.6540818343546,0.0
moderate,10.7422,1.7647669795504974,0.0229659743753969,1.4286417368287612,0.0170989587542183,94.18413882055503,2.59779842970652
high,20.9635,1.5208363791207606,0.0777276094290301,1.3454704029739093,0.0433565558210694,80.88954837090506,3.10159933308898
